Country,Latitude (generated),Longitude (generated)
Zimbabwe,-19.098,30.047
Zambia,-15.13,25.268
Yemen,15.569,47.793
Vietnam,21.75,105.373
Venezuela,6.983,-64.588
Uzbekistan,41.757,63.958
Uruguay,-32.948,-56.249
United States,40.0792,-98.8164
United Kingdom,52.289,-1.259
United Arab Emirates,23.9299,53.9031
Ukraine,49.364,32.132
Uganda,1.9392,32.7415
Turkmenistan,39.584,59.597
Turkey,39.144,34.188
Tunisia,35.594,9.421
Trinidad and Tobago,10.4435,-61.2604
Trinidad & Tobago,10.4435,-61.2604
Togo,7.7,1.106
Thailand,15.688,100.845
Tanzania,-5.651,34.146
Tajikistan,38.367,72.597
Taiwan Province of China,,
Taiwan,23.6091,120.8353
Syria,35.303,38.322
Switzerland,46.7794,8.0329
Sweden,66.2188,19
Swaziland,-26.5203,31.4607
Suriname,4.248,-55.848
Sudan,15.739,29.533
Sri Lanka,7.3,80.727
Spain,40.617,-3.388
South Sudan,7.1,30.48
South Korea,36.338,128.16
South Africa,-31.7,23.441
Somaliland Region,,
Somaliland region,,
Somalia,2.875,43.446
Slovenia,46.037,14.534
Slovakia,48.8595,19.4434
Singapore,1.3389,103.8297
Sierra Leone,8.677,-11.779
Serbia,44.021,20.699
Senegal,15.044,-15.081
Saudi Arabia,24.191,44.32
Rwanda,-1.887,29.904
Russia,64.736,104.062
Romania,45.933,25.119
Qatar,25.3174,51.1522
Puerto Rico,18.242,-66.643
Portugal,40.957,-7.9373
Poland,52.442,19.72
Philippines,17.181,121.256
Peru,-12.664,-72.98
Paraguay,-23.266,-58.409
Panama,8.348,-81.005
Palestinian Territories,32.097,35.26
Pakistan,28.1854,66.6429
Oman,19.85,56.25
Norway,61.3701,9.3031
Northern Cyprus,35.214,33.675
North Macedonia,41.636,21.676
North Cyprus,,
Nigeria,9.3417,7.678
Niger,16.996,9.915
Nicaragua,12.692,-85.03
New Zealand,-42.558,172.377
Netherlands,52.1704,5.0102
Nepal,28.2114,83.5608
Namibia,-21.276,17.219
Myanmar,21.841,96.05
Mozambique,-13.852,38.042
Morocco,31.129,-7.355
Montenegro,42.857,19.096
Mongolia,46.516,102.564
Moldova,47.524,28.444
Mexico,22.925,-101.68
Mauritius,-20.2529,57.5902
Mauritania,19.413,-10.6528
Malta,35.9024,14.4137
Mali,18.211,-2.209
Maldives,4.221,73.463
Malaysia,4.416,102.099
Malawi,-13.2731,33.7428
Madagascar,-19.615,46.645
Macedonia,41.636,21.676
Luxembourg,49.671,6.113
Lithuania,55.342,24.23
Libya,27.24,17.571
Liberia,6.51,-9.33
Lesotho,-29.446,28.371
Lebanon,34.161,36.021
Latvia,57.017,25.0173
Laos,19.595,102.538
Kyrgyzstan,41.741,75.043
Kuwait,29.3169,47.4272
Kosovo,42.546,20.921
Kenya,0.806,38.166
Kazakhstan,48.866,69.772
Jordan,30.681,36.279
Japan,35.962,137.855
Jamaica,18.163,-77.477
Ivory Coast,7.497,-5.336
Italy,44.3713,11.1084
Israel,30.992,34.834
Ireland,53.214,-7.588
Iraq,33.545,43.278
Iran,33.408,54.0418
Indonesia,-0.739,114.045
India,22.741,78.236
Iceland,64.826,-18.417
Hungary,47.174,19.618
"Hong Kong S.A.R., China",22.4114,114.0599
Hong Kong S.A.R. of China,,
Hong Kong,22.4114,114.0599
Honduras,14.881,-87.123
Haiti,19.3175,-72.4205
Guinea,10.599,-10.907
Guatemala,15.124,-90.711
Greece,39.787,21.617
Ghana,7.258,-1.062
Germany,51.3819,9.9877
Georgia,42.05,43.576
Gambia,13.499,-14.641
Gabon,-0.406,11.914
France,46.656,2.543
Finland,62.716,26.192
Ethiopia,8.435,38.786
Estonia,58.777,25.977
El Salvador,13.848,-89.229
Egypt,26.16,28.742
Ecuador,-1.151,-78.308
Dominican Republic,19.01,-70.1685
Djibouti,11.41,42.165
Denmark,56.113,9.096
Czech Republic,49.848,15.2812
Cyprus,34.894,32.928
Croatia,45.754,16.385
Costa Rica,10.126,-84.075
Congo (Kinshasa),-1.418,23.607
Congo (Brazzaville),0.509,16.08
Comoros,-11.6527,43.3307
Colombia,3.794,-73.606
China,35.1753,99.3877
Chile,-23.176,-69.201
Chad,15.981,18.781
Central African Republic,7.043,21.424
Canada,59.2067,-111.1937
Cameroon,4.4,12.131
Cambodia,12.69,104.444
Burundi,-3.333,29.749
Burkina Faso,12.673,-1.226
Bulgaria,42.625,24.521
Brazil,-11.694,-48.978
Botswana,-22.126,23.662
Bosnia and Herzegovina,44.342,17.804
Bolivia,-16.71,-65.183
Bhutan,27.5342,90.3002
Benin,10.478,2.274
Belize,17.108,-88.744
Belgium,50.6745,4.4588
Belarus,53.3292,27.9492
Bangladesh,24.598,90.1963
Bahrain,26.025,50.5534
Azerbaijan,40.46,47.883
Austria,47.65,14.705
Australia,-24.578,133.582
Armenia,40.56,44.449
Argentina,-33.166,-64.31
Angola,-12.836,17.808
Algeria,28.6045,2.64
Albania,40.654,20.076
Afghanistan,34.023,65.5267
